Ticker,Name,Start Price,Current Price,Total Return (%),Month 1 Return (%),Month 2 Return (%),Month 3 Return (%),Month 4 Return (%),Month 5 Return (%),Month 6 Return (%),Month 7 Return (%),Month 8 Return (%),Month 9 Return (%),Month 10 Return (%),Month 11 Return (%),Month 12 Return (%),Month 1 Volatility (%),Month 2 Volatility (%),Month 3 Volatility (%),Month 4 Volatility (%),Month 5 Volatility (%),Month 6 Volatility (%),Month 7 Volatility (%),Month 8 Volatility (%),Month 9 Volatility (%),Month 10 Volatility (%),Month 11 Volatility (%),Month 12 Volatility (%),Month 1 Sharpe Ratio,Month 2 Sharpe Ratio,Month 3 Sharpe Ratio,Month 4 Sharpe Ratio,Month 5 Sharpe Ratio,Month 6 Sharpe Ratio,Month 7 Sharpe Ratio,Month 8 Sharpe Ratio,Month 9 Sharpe Ratio,Month 10 Sharpe Ratio,Month 11 Sharpe Ratio,Month 12 Sharpe Ratio,,abs,abssr1,abssr2,abssr3,abssr4,abssr5,abssr6,abssr7,abssr8,abssr9,abssr10,abssr11,abssr12,abssrsum
344820,KCC글라스,40750,40250,-1.23,1,-3.03,-3.06,4.87,-1.48,0.5,-2.08,-0.61,1.61,-2.68,0.49,2.6,1.06,0.74,1.73,1.24,0.66,0.59,0.52,0.73,1.9,0.63,1.13,0.62,0.94,-4.09,-1.77,3.93,-2.24,0.85,-4,-0.84,0.85,-4.25,0.43,4.19,-0.5,0.5,0.94,4.09,1.77,3.93,2.24,0.85,4,0.84,0.85,4.25,0.43,4.19,2.365
7110,일신석재,1002,1374,37.13,3.31,-5.13,-1.96,12.22,-1.96,-4.32,-3.74,-2.91,-6.48,3.96,5.02,6.45,1.37,5.72,5.7,7.49,0.92,0.96,1.55,2.08,1.76,2.8,0.99,2.56,2.42,-0.9,-0.34,1.63,-2.13,-4.5,-2.41,-1.4,-3.68,1.41,5.07,2.52,-0.1925,0.1925,2.42,0.9,0.34,1.63,2.13,4.5,2.41,1.4,3.68,1.41,5.07,2.52,2.3675
3530,한화투자증권,2315,3300,42.55,1.07,-1.34,-7.47,15.49,-2.56,2.37,-11.96,-14.19,15.58,5.22,23.84,13.43,2.03,2.89,4.31,3.88,2.1,2.51,2.58,4.06,4.47,8.14,6.96,3.45,0.53,-0.46,-1.73,3.99,-1.22,0.94,-4.64,-3.5,3.49,0.64,3.43,3.89,0.446666667,0.446666667,0.53,0.46,1.73,3.99,1.22,0.94,4.64,3.5,3.49,0.64,3.43,3.89,2.371666667
88350,한화생명,2870,2825,-1.57,1.07,-3.04,-3.88,4.36,6.57,-3.11,4.06,-12.63,-6.11,10.16,3.28,-2.47,2.61,2.03,2.87,1.72,1.49,2.11,2,1.9,4.28,2.98,1.45,2.31,0.41,-1.5,-1.35,2.53,4.41,-1.47,2.03,-6.65,-1.43,3.41,2.26,-1.07,0.131666667,0.131666667,0.41,1.5,1.35,2.53,4.41,1.47,2.03,6.65,1.43,3.41,2.26,1.07,2.376666667
111110,호전실업,8240,7990,-3.03,9.45,0.68,1.42,0.29,-3.42,-0.14,3.69,-3.27,-6.77,-3.4,0.13,-4.13,7.16,1.66,2.03,1.22,0.67,1.52,1.46,1.12,0.87,0.98,1.09,1.07,1.32,0.41,0.7,0.24,-5.1,-0.09,2.53,-2.92,-7.78,-3.47,0.12,-3.86,-1.491666667,1.491666667,1.32,0.41,0.7,0.24,5.1,0.09,2.53,2.92,7.78,3.47,0.12,3.86,2.378333333
815,삼성화재우,185500,270000,45.55,0.37,-1.08,-2.69,4.22,2.58,11.11,10.91,-4.24,12.07,1.59,0.69,1.73,1.68,1.84,2.01,1.46,1.96,2.51,1.77,2.85,2.86,0.77,0.69,0.6,0.22,-0.59,-1.34,2.89,1.32,4.43,6.16,-1.49,4.22,2.06,1,2.88,1.813333333,1.813333333,0.22,0.59,1.34,2.89,1.32,4.43,6.16,1.49,4.22,2.06,1,2.88,2.383333333
5360,모나미,3065,2370,-22.68,-0.21,-7.17,-4.58,-2.7,-0.18,0.36,-6.28,-2.33,-0.66,-2.57,4.25,1.55,0.44,0.94,3.45,0.92,1,2.39,1.29,0.56,0.78,1.35,1.43,1.31,-0.48,-7.63,-1.33,-2.93,-0.18,0.15,-4.87,-4.16,-0.85,-1.9,2.97,1.18,-1.669166667,1.669166667,0.48,7.63,1.33,2.93,0.18,0.15,4.87,4.16,0.85,1.9,2.97,1.18,2.385833333
5180,빙그레,56700,61700,8.82,-1.44,0.94,-26.28,-1.97,14.3,20,23.1,0,0.38,-1.68,-0.55,0.54,0.96,2.03,3.57,2.41,6.52,4.28,2.44,1.41,2.2,1.24,1.64,1.81,-1.5,0.46,-7.36,-0.82,2.19,4.67,9.47,0,0.17,-1.35,-0.34,0.3,0.490833333,0.490833333,1.5,0.46,7.36,0.82,2.19,4.67,9.47,0,0.17,1.35,0.34,0.3,2.385833333
9240,한샘,55000,52300,-4.91,-2.97,1.62,-11.77,6.2,10.27,8.19,12.75,-0.71,0.62,-7.38,5.31,1.98,0.92,2.3,3.42,2.99,3.58,3.86,2.64,1.88,1.92,1.55,1.68,2.57,-3.23,0.7,-3.44,2.07,2.87,2.12,4.83,-0.38,0.32,-4.76,3.16,0.77,0.419166667,0.419166667,3.23,0.7,3.44,2.07,2.87,2.12,4.83,0.38,0.32,4.76,3.16,0.77,2.3875
3030,세아제강지주,197700,173700,-12.14,1.46,-1.14,0.06,-6.76,-12.44,-9.05,3.8,2.54,-3.6,-7.63,25.65,-3.68,2.25,3.3,3.02,2.7,2.3,2.9,2.02,2.87,2.6,2.24,3.35,2.6,0.65,-0.35,0.02,-2.5,-5.41,-3.12,1.88,0.89,-1.38,-3.41,7.66,-1.42,-0.540833333,0.540833333,0.65,0.35,0.02,2.5,5.41,3.12,1.88,0.89,1.38,3.41,7.66,1.42,2.390833333
2690,동일제강,1763,1582,-10.27,-0.5,0.25,-7.62,-2.4,-5.97,-1.77,-3.4,-0.37,-1.75,3.12,0.97,8.2,0.67,1.95,2.99,1.35,1.29,0.99,0.81,0.66,0.7,1.52,0.91,1.22,-0.75,0.13,-2.55,-1.78,-4.63,-1.79,-4.2,-0.56,-2.5,2.05,1.07,6.72,-0.7325,0.7325,0.75,0.13,2.55,1.78,4.63,1.79,4.2,0.56,2.5,2.05,1.07,6.72,2.394166667
320,노루홀딩스,11430,13390,17.15,0.53,0.53,-3.65,4.27,3.15,2.12,3.81,-5.46,1.51,1.5,-4.34,8.08,0.37,0.92,2.23,1.09,1.14,1.22,1.68,1.51,3.45,2.02,1.49,1.2,1.43,0.58,-1.64,3.92,2.76,1.74,2.27,-3.62,0.44,0.74,-2.91,6.73,1.036666667,1.036666667,1.43,0.58,1.64,3.92,2.76,1.74,2.27,3.62,0.44,0.74,2.91,6.73,2.398333333
25820,이구산업,3635,4955,36.31,0.81,12.3,-6.9,-11.85,-7.82,-7.66,41.33,12.89,1.91,0.26,-2.28,6.28,0.79,3.32,4.02,3.4,2.75,6.5,6.72,3.3,2.32,2.5,1.3,2.89,1.03,3.7,-1.72,-3.49,-2.84,-1.18,6.15,3.91,0.82,0.1,-1.75,2.17,0.575,0.575,1.03,3.7,1.72,3.49,2.84,1.18,6.15,3.91,0.82,0.1,1.75,2.17,2.405
850,화천기공,31700,28750,-9.31,-0.35,1.39,-4.67,-1.33,-0.66,-2.42,-5.53,-0.61,2.32,1.92,-3.21,2.65,0.6,8.18,2.07,0.8,0.49,0.48,1.37,4.61,0.61,0.82,0.92,0.66,-0.58,0.17,-2.26,-1.66,-1.35,-5.04,-4.04,-0.13,3.8,2.34,-3.49,4.02,-0.685,0.685,0.58,0.17,2.26,1.66,1.35,5.04,4.04,0.13,3.8,2.34,3.49,4.02,2.406666667
58850,KTcs,3425,3025,-11.68,-0.82,16.2,-16.43,-4.89,-0.61,-1.24,-8.96,-9.84,3.43,-0.4,-2.17,2.63,1.01,4.49,4.04,1.45,1.4,1.21,1.54,1.45,2.23,4.67,2.96,4.15,-0.81,3.61,-4.07,-3.37,-0.44,-1.02,-5.82,-6.79,1.54,-0.09,-0.73,0.63,-1.446666667,1.446666667,0.81,3.61,4.07,3.37,0.44,1.02,5.82,6.79,1.54,0.09,0.73,0.63,2.41
47400,유니온머티리얼,2705,2160,-20.15,4.6,0.71,-14.31,-5.21,-8.61,-1.63,3.72,-7.97,-1.88,1.03,9.21,5.54,5.41,2.25,4.05,3.04,1.06,2.08,3.44,1.32,1.94,2.8,3.36,2.26,0.85,0.32,-3.53,-1.71,-8.12,-0.78,1.08,-6.04,-0.97,0.37,2.74,2.45,-1.111666667,1.111666667,0.85,0.32,3.53,1.71,8.12,0.78,1.08,6.04,0.97,0.37,2.74,2.45,2.413333333
1780,알루코,3180,2505,-21.23,3.3,-0.81,-9.32,-8.38,-5.46,-6.63,-3.34,2.09,-6.03,10.39,0.16,11.23,2.91,1.91,4.23,1.53,1.4,1.8,2.48,4.31,2.13,4.25,1.34,2.28,1.13,-0.42,-2.2,-5.48,-3.9,-3.68,-1.35,0.48,-2.83,2.44,0.12,4.93,-0.896666667,0.896666667,1.13,0.42,2.2,5.48,3.9,3.68,1.35,0.48,2.83,2.44,0.12,4.93,2.413333333
37710,광주신세계,30000,28950,-3.5,-1.03,0.17,0.34,-3.93,0,-1.93,0.65,-1.59,-1.43,2.17,-2.28,2.16,0.25,0.85,1.35,0.41,0.36,0.45,0.8,0.72,1.56,1.1,1.04,0.89,-4.12,0.2,0.25,-9.59,0,-4.29,0.81,-2.21,-0.92,1.97,-2.19,2.43,-1.471666667,1.471666667,4.12,0.2,0.25,9.59,0,4.29,0.81,2.21,0.92,1.97,2.19,2.43,2.415
2220,한일철강,2650,1998,-24.6,-1.09,-0.73,-6.98,-4.35,-4.55,-0.21,-9.85,-2.22,1.73,1.87,-5.53,4.72,0.42,1.64,2.66,1.43,1.53,1.21,1.5,1.32,2.31,1.15,1.89,1.3,-2.6,-0.45,-2.62,-3.04,-2.97,-0.17,-6.57,-1.68,0.75,1.63,-2.93,3.63,-1.418333333,1.418333333,2.6,0.45,2.62,3.04,2.97,0.17,6.57,1.68,0.75,1.63,2.93,3.63,2.42
300720,한일시멘트,11720,13210,12.71,0.23,-5.1,0.82,8.42,-0.59,5.8,6.67,1.49,0.33,-2.51,1.19,3.77,3.19,1.5,2.96,1.49,2.37,2.63,0.98,1.28,1.36,1.53,1.24,0.59,0.07,-3.4,0.28,5.65,-0.25,2.21,6.81,1.16,0.24,-1.64,0.96,6.39,1.54,1.54,0.07,3.4,0.28,5.65,0.25,2.21,6.81,1.16,0.24,1.64,0.96,6.39,2.421666667
8420,문배철강,3010,2435,-19.1,0.21,-3.01,-9.22,-2.66,-3.42,-0.35,-1.72,-5.14,-2.6,-1.91,0.48,3.68,0.15,2.16,3.01,1.07,1.32,1.17,1.19,0.78,1.02,0.79,0.63,0.9,1.4,-1.39,-3.06,-2.49,-2.59,-0.3,-1.45,-6.59,-2.55,-2.42,0.76,4.09,-1.3825,1.3825,1.4,1.39,3.06,2.49,2.59,0.3,1.45,6.59,2.55,2.42,0.76,4.09,2.424166667
10950,S-Oil,72400,62400,-13.81,3.48,-1.61,-8.24,-0.44,-5,-2.71,-6.79,4.53,12.68,-0.44,1.31,2.56,3.5,1.53,1.6,1.42,1.34,1.32,2.22,1.86,1.83,1.72,1.13,1.28,0.99,-1.05,-5.15,-0.31,-3.73,-2.05,-3.06,2.44,6.93,-0.26,1.16,2,-0.174166667,0.174166667,0.99,1.05,5.15,0.31,3.73,2.05,3.06,2.44,6.93,0.26,1.16,2,2.4275
